condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware
baseline,0,remote,0.6777,0.0469,149.26,laptop
baseline,1,tv,0.8125,0.0532,194.54,laptop
baseline,1,remote,0.8255,0.0348,194.54,laptop
baseline,1,person,0.8549,0.0421,194.54,laptop
baseline,1,chair,0.7419,0.0661,194.54,laptop
baseline,1,bottle,0.7526,0.0762,194.54,laptop
baseline,2,tv,0.6837,0.0285,109.04,laptop
baseline,2,bottle,0.7991,0.055,109.04,laptop
baseline,2,keyboard,0.7019,0.0267,109.04,laptop
baseline,3,bottle,0.7526,0.01,142.55,laptop
baseline,3,book,0.6939,0.0313,142.55,laptop
baseline,4,cell phone,0.7942,0.0455,156.16,laptop
baseline,5,book,0.8776,0.0731,155.04,laptop
baseline,5,cup,0.6679,0.0343,155.04,laptop
baseline,5,keyboard,0.8866,0.0363,155.04,laptop
baseline,5,mouse,0.7739,0.0651,155.04,laptop
baseline,5,laptop,0.8511,0.0209,155.04,laptop
baseline,6,laptop,0.9193,0.0563,127.76,laptop
baseline,6,bottle,0.6913,0.0584,127.76,laptop
baseline,6,mouse,0.764,0.0586,127.76,laptop
baseline,6,tv,0.7179,0.0507,127.76,laptop
baseline,6,person,0.8337,0.0684,127.76,laptop
baseline,7,chair,0.6927,0.069,159.67,laptop
baseline,7,tv,0.8557,0.0455,159.67,laptop
baseline,7,bottle,0.885,0.0386,159.67,laptop
baseline,8,cell phone,0.7956,0.0748,159.51,laptop
baseline,8,person,0.6802,0.0269,159.51,laptop
baseline,9,bottle,0.6731,0.0561,135.88,laptop
baseline,9,bottle,0.9141,0.0374,135.88,laptop
baseline,9,tv,0.6946,0.0434,135.88,laptop
baseline,10,remote,0.8363,0.0498,124.0,laptop
baseline,10,chair,0.9187,0.0355,124.0,laptop
baseline,10,bottle,0.7169,0.032,124.0,laptop
baseline,10,person,0.8088,0.0463,124.0,laptop
baseline,10,mouse,0.6659,0.0555,124.0,laptop
baseline,11,mouse,0.7811,0.0406,139.39,laptop
baseline,12,chair,0.7014,0.0398,123.08,laptop
