condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware
edge_deployment,0,book,0.8188,0.0541,661.44,rpi5
edge_deployment,0,book,0.7465,0.0613,661.44,rpi5
edge_deployment,0,laptop,0.767,0.0856,661.44,rpi5
edge_deployment,1,person,0.8437,0.0622,697.65,rpi5
edge_deployment,2,tv,0.7069,0.043,590.72,rpi5
edge_deployment,2,tv,0.8095,0.0777,590.72,rpi5
edge_deployment,2,remote,0.6302,0.0322,590.72,rpi5
edge_deployment,2,cup,0.8811,0.0745,590.72,rpi5
edge_deployment,3,mouse,0.8288,0.1174,525.65,rpi5
edge_deployment,4,book,0.8364,0.0639,594.64,rpi5
edge_deployment,4,cup,0.6618,0.0546,594.64,rpi5
edge_deployment,5,book,0.7738,0.0503,635.61,rpi5
edge_deployment,6,cup,0.7917,0.0464,833.73,rpi5
edge_deployment,6,dining table,0.8729,0.0688,833.73,rpi5
edge_deployment,7,keyboard,0.8696,0.0602,709.53,rpi5
edge_deployment,7,remote,0.8158,0.0453,709.53,rpi5
edge_deployment,7,remote,0.8324,0.0463,709.53,rpi5
edge_deployment,7,bottle,0.8926,0.0556,709.53,rpi5
edge_deployment,8,mouse,0.8189,0.0444,669.73,rpi5
edge_deployment,8,keyboard,0.6923,0.0573,669.73,rpi5
edge_deployment,8,cell phone,0.8159,0.0416,669.73,rpi5
edge_deployment,8,dining table,0.7565,0.0322,669.73,rpi5
edge_deployment,9,book,0.7892,0.0684,560.43,rpi5
edge_deployment,10,tv,0.8018,0.0683,501.83,rpi5
edge_deployment,11,tv,0.6645,0.064,544.51,rpi5
edge_deployment,11,bottle,0.7154,0.0628,544.51,rpi5
edge_deployment,11,chair,0.7788,0.0365,544.51,rpi5
edge_deployment,11,remote,0.6861,0.0518,544.51,rpi5
edge_deployment,12,keyboard,0.7496,0.0288,589.08,rpi5
edge_deployment,12,chair,0.6395,0.0455,589.08,rpi5
edge_deployment,12,keyboard,0.836,0.0423,589.08,rpi5
edge_deployment,12,bottle,0.6809,0.0671,589.08,rpi5
edge_deployment,13,cup,0.7292,0.033,625.88,rpi5
edge_deployment,14,mouse,0.7053,0.0845,670.71,rpi5
edge_deployment,14,chair,0.821,0.0943,670.71,rpi5
edge_deployment,15,cup,0.6375,0.1182,480.69,rpi5
edge_deployment,15,book,0.6507,0.0321,480.69,rpi5
edge_deployment,15,person,0.6859,0.0506,480.69,rpi5
edge_deployment,15,chair,0.7337,0.0407,480.69,rpi5
edge_deployment,16,chair,0.8561,0.0405,566.62,rpi5
edge_deployment,16,chair,0.6632,0.0773,566.62,rpi5
edge_deployment,17,cell phone,0.822,0.039,617.86,rpi5
edge_deployment,18,chair,0.8608,0.0731,628.05,rpi5
edge_deployment,19,chair,0.7746,0.0416,533.97,rpi5
edge_deployment,19,keyboard,0.6221,0.0593,533.97,rpi5
edge_deployment,20,keyboard,0.7228,0.0435,603.2,rpi5
edge_deployment,20,keyboard,0.7553,0.0416,603.2,rpi5
edge_deployment,21,remote,0.7674,0.0709,707.17,rpi5
edge_deployment,22,keyboard,0.6448,0.0307,504.04,rpi5
edge_deployment,23,tv,0.8435,0.0531,645.5,rpi5
edge_deployment,24,tv,0.8737,0.043,647.38,rpi5
edge_deployment,25,person,0.8146,0.0446,583.8,rpi5
edge_deployment,25,cup,0.6372,0.0476,583.8,rpi5
edge_deployment,25,cell phone,0.7804,0.0481,583.8,rpi5
edge_deployment,26,bottle,0.6555,0.0782,557.82,rpi5
edge_deployment,27,cup,0.624,0.0621,693.14,rpi5
edge_deployment,27,cell phone,0.8046,0.061,693.14,rpi5
edge_deployment,27,cell phone,0.6932,0.0497,693.14,rpi5
edge_deployment,28,bottle,0.8909,0.032,521.25,rpi5
edge_deployment,29,laptop,0.805,0.0536,525.58,rpi5
edge_deployment,29,book,0.6352,0.046,525.58,rpi5
edge_deployment,29,bottle,0.6347,0.0384,525.58,rpi5
edge_deployment,29,tv,0.6854,0.0588,525.58,rpi5
edge_deployment,30,person,0.7009,0.0563,570.24,rpi5
edge_deployment,30,chair,0.81,0.1154,570.24,rpi5
edge_deployment,30,mouse,0.7191,0.0496,570.24,rpi5
edge_deployment,30,keyboard,0.8771,0.0635,570.24,rpi5
edge_deployment,31,keyboard,0.7295,0.0586,556.83,rpi5
edge_deployment,32,mouse,0.8133,0.0631,471.92,rpi5
edge_deployment,32,bottle,0.6233,0.0721,471.92,rpi5
edge_deployment,33,cup,0.6741,0.064,586.97,rpi5
edge_deployment,34,bottle,0.6442,0.0485,742.16,rpi5
edge_deployment,34,chair,0.8038,0.0707,742.16,rpi5
edge_deployment,35,cup,0.7025,0.0518,551.58,rpi5
edge_deployment,36,remote,0.8729,0.0567,589.79,rpi5
edge_deployment,36,bottle,0.6976,0.0418,589.79,rpi5
edge_deployment,36,chair,0.7131,0.0898,589.79,rpi5
edge_deployment,37,laptop,0.7909,0.0626,1117.92,rpi5
edge_deployment,37,chair,0.6811,0.0707,1117.92,rpi5
edge_deployment,37,dining table,0.8203,0.0597,1117.92,rpi5
edge_deployment,37,cup,0.8376,0.0885,1117.92,rpi5
edge_deployment,38,remote,0.7124,0.0459,741.38,rpi5
