condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware,lighting_level
lighting_shift,0,cup,0.7942,0.1355,168.89,laptop,strong_backlight
lighting_shift,0,cup,0.744,0.0871,168.89,laptop,strong_backlight
lighting_shift,0,bottle,0.6605,0.066,168.89,laptop,strong_backlight
lighting_shift,1,tv,0.6297,0.1233,181.89,laptop,reduced
lighting_shift,1,person,0.5993,0.0699,181.89,laptop,reduced
lighting_shift,1,book,0.7218,0.1138,181.89,laptop,reduced
lighting_shift,1,keyboard,0.6343,0.1111,181.89,laptop,reduced
lighting_shift,2,dining table,0.5275,0.1307,154.11,laptop,strong_backlight
lighting_shift,3,mouse,0.7672,0.1328,151.53,laptop,strong_backlight
lighting_shift,3,cup,0.7148,0.0693,151.53,laptop,strong_backlight
lighting_shift,4,dining table,0.5548,0.0788,118.91,laptop,reduced
lighting_shift,5,mouse,0.8048,0.1157,133.1,laptop,reduced
lighting_shift,5,tv,0.6457,0.1194,133.1,laptop,reduced
lighting_shift,5,cell phone,0.7856,0.1124,133.1,laptop,reduced
lighting_shift,5,dining table,0.7047,0.1351,133.1,laptop,reduced
lighting_shift,6,laptop,0.653,0.136,155.58,laptop,strong_backlight
lighting_shift,7,book,0.6833,0.1382,183.19,laptop,strong_backlight
lighting_shift,8,laptop,0.8105,0.1359,127.82,laptop,strong_backlight
lighting_shift,9,mouse,0.7118,0.1377,152.96,laptop,strong_backlight
lighting_shift,10,cell phone,0.7561,0.0764,113.14,laptop,reduced
lighting_shift,10,tv,0.5821,0.0773,113.14,laptop,reduced
lighting_shift,10,laptop,0.6186,0.0718,113.14,laptop,reduced
lighting_shift,11,cell phone,0.8163,0.1032,171.55,laptop,reduced
lighting_shift,11,cell phone,0.553,0.1293,171.55,laptop,reduced
lighting_shift,11,cell phone,0.5245,0.1232,171.55,laptop,reduced
lighting_shift,12,cup,0.5357,0.1193,91.5,laptop,reduced
lighting_shift,12,tv,0.5541,0.0651,91.5,laptop,reduced
lighting_shift,12,dining table,0.7534,0.1011,91.5,laptop,reduced
lighting_shift,13,keyboard,0.533,0.1227,137.86,laptop,reduced
lighting_shift,13,mouse,0.6764,0.0966,137.86,laptop,reduced
lighting_shift,13,person,0.5382,0.0983,137.86,laptop,reduced
lighting_shift,13,chair,0.6479,0.0686,137.86,laptop,reduced
lighting_shift,14,book,0.7025,0.0653,175.43,laptop,strong_backlight
lighting_shift,15,keyboard,0.6792,0.0963,126.19,laptop,strong_backlight
lighting_shift,15,keyboard,0.6491,0.1234,126.19,laptop,strong_backlight
lighting_shift,15,bottle,0.7758,0.1121,126.19,laptop,strong_backlight
