condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware,novelty_label
novel_objects,0,laptop,0.685,0.1353,159.68,laptop,novel_object
novel_objects,0,cup,0.7272,0.1724,159.68,laptop,novel_object
novel_objects,0,dining table,0.597,0.1764,159.68,laptop,novel_object
novel_objects,1,cup,0.7334,0.134,130.27,laptop,novel_object
novel_objects,1,tv,0.5148,0.1357,130.27,laptop,novel_object
novel_objects,1,person,0.7304,0.0981,130.27,laptop,novel_object
novel_objects,1,keyboard,0.641,0.1929,130.27,laptop,novel_object
novel_objects,2,cell phone,0.5707,0.1486,127.83,laptop,novel_object
novel_objects,2,cup,0.4942,0.1909,127.83,laptop,novel_object
novel_objects,2,bottle,0.5809,0.0958,127.83,laptop,novel_object
novel_objects,2,keyboard,0.6758,0.1394,127.83,laptop,novel_object
novel_objects,3,mouse,0.7378,0.1462,130.18,laptop,novel_object
novel_objects,3,remote,0.6096,0.1267,130.18,laptop,novel_object
novel_objects,4,laptop,0.4641,0.1576,158.62,laptop,novel_object
novel_objects,5,person,0.4632,0.1317,197.58,laptop,novel_object
novel_objects,5,mouse,0.7238,0.1287,197.58,laptop,novel_object
novel_objects,5,cup,0.6409,0.1136,197.58,laptop,novel_object
novel_objects,5,keyboard,0.6656,0.1276,197.58,laptop,novel_object
novel_objects,6,book,0.7197,0.1859,106.13,laptop,novel_object
novel_objects,6,dining table,0.7428,0.202,106.13,laptop,novel_object
novel_objects,6,laptop,0.4754,0.1426,106.13,laptop,novel_object
novel_objects,7,bottle,0.6682,0.1542,153.58,laptop,novel_object
novel_objects,7,book,0.6877,0.106,153.58,laptop,novel_object
novel_objects,8,chair,0.4574,0.1777,148.31,laptop,novel_object
novel_objects,8,mouse,0.6192,0.1505,148.31,laptop,novel_object
novel_objects,9,chair,0.6478,0.148,163.14,laptop,novel_object
novel_objects,9,person,0.7399,0.1323,163.14,laptop,novel_object
novel_objects,10,dining table,0.7362,0.167,99.05,laptop,novel_object
novel_objects,10,keyboard,0.7207,0.1896,99.05,laptop,novel_object
novel_objects,11,keyboard,0.6449,0.1797,163.8,laptop,novel_object
novel_objects,11,chair,0.4936,0.1763,163.8,laptop,novel_object
novel_objects,11,mouse,0.5885,0.1438,163.8,laptop,novel_object
novel_objects,12,tv,0.6161,0.2573,168.71,laptop,novel_object
novel_objects,13,mouse,0.6642,0.1184,284.39,laptop,novel_object
novel_objects,13,book,0.7387,0.1297,284.39,laptop,novel_object
novel_objects,14,chair,0.5657,0.162,119.95,laptop,novel_object
novel_objects,14,keyboard,0.4822,0.0783,119.95,laptop,novel_object
novel_objects,14,dining table,0.7027,0.1506,119.95,laptop,novel_object
novel_objects,14,tv,0.5849,0.1333,119.95,laptop,novel_object
novel_objects,15,remote,0.7154,0.1329,204.59,laptop,novel_object
novel_objects,16,tv,0.5898,0.176,165.45,laptop,novel_object
novel_objects,17,tv,0.7087,0.1384,170.13,laptop,novel_object
novel_objects,17,book,0.6345,0.06,170.13,laptop,novel_object
novel_objects,17,remote,0.5814,0.1491,170.13,laptop,novel_object
novel_objects,18,cell phone,0.4831,0.1074,144.63,laptop,novel_object
novel_objects,19,person,0.503,0.1007,155.84,laptop,novel_object
novel_objects,19,person,0.7154,0.1551,155.84,laptop,novel_object
novel_objects,19,bottle,0.4711,0.1096,155.84,laptop,novel_object
novel_objects,20,chair,0.6526,0.1095,113.91,laptop,novel_object
novel_objects,21,dining table,0.4535,0.1214,188.65,laptop,novel_object
novel_objects,22,remote,0.5265,0.1894,159.89,laptop,novel_object
novel_objects,22,person,0.5687,0.1451,159.89,laptop,novel_object
novel_objects,22,chair,0.5665,0.0724,159.89,laptop,novel_object
novel_objects,23,cup,0.6896,0.1345,129.98,laptop,novel_object
novel_objects,23,keyboard,0.5649,0.1635,129.98,laptop,novel_object
novel_objects,24,chair,0.6397,0.1808,140.4,laptop,novel_object
novel_objects,24,cup,0.5622,0.2311,140.4,laptop,novel_object
novel_objects,25,remote,0.5961,0.1014,177.6,laptop,novel_object
novel_objects,25,dining table,0.7041,0.1436,177.6,laptop,novel_object
novel_objects,25,dining table,0.7459,0.0636,177.6,laptop,novel_object
novel_objects,26,laptop,0.6734,0.1475,151.96,laptop,novel_object
novel_objects,26,book,0.5861,0.1176,151.96,laptop,novel_object
novel_objects,26,cup,0.5319,0.2366,151.96,laptop,novel_object
novel_objects,26,book,0.4751,0.171,151.96,laptop,novel_object
novel_objects,27,remote,0.6754,0.1698,133.11,laptop,novel_object
novel_objects,27,remote,0.5299,0.1211,133.11,laptop,novel_object
novel_objects,27,laptop,0.5169,0.1401,133.11,laptop,novel_object
novel_objects,28,bottle,0.673,0.1186,179.71,laptop,novel_object
novel_objects,29,book,0.6548,0.06,115.49,laptop,novel_object
novel_objects,30,tv,0.5425,0.2188,148.5,laptop,novel_object
novel_objects,30,dining table,0.7601,0.2326,148.5,laptop,novel_object
novel_objects,30,mouse,0.706,0.1254,148.5,laptop,novel_object
novel_objects,31,person,0.6725,0.13,148.36,laptop,novel_object
novel_objects,31,cup,0.5118,0.1495,148.36,laptop,novel_object
novel_objects,31,cup,0.6055,0.1183,148.36,laptop,novel_object
novel_objects,32,book,0.5705,0.1134,129.44,laptop,novel_object
novel_objects,32,keyboard,0.6764,0.1592,129.44,laptop,novel_object
novel_objects,33,laptop,0.4981,0.104,155.61,laptop,novel_object
novel_objects,33,cell phone,0.6061,0.1713,155.61,laptop,novel_object
novel_objects,33,mouse,0.6206,0.1419,155.61,laptop,novel_object
novel_objects,34,chair,0.4827,0.1767,135.06,laptop,novel_object
novel_objects,34,laptop,0.7186,0.0982,135.06,laptop,novel_object
novel_objects,34,book,0.5357,0.1462,135.06,laptop,novel_object
novel_objects,34,tv,0.7575,0.1397,135.06,laptop,novel_object
novel_objects,35,mouse,0.6642,0.1638,150.0,laptop,novel_object
novel_objects,35,mouse,0.6184,0.1865,150.0,laptop,novel_object
novel_objects,36,mouse,0.7657,0.1212,163.83,laptop,novel_object
novel_objects,36,mouse,0.7165,0.1179,163.83,laptop,novel_object
novel_objects,36,bottle,0.4761,0.1761,163.83,laptop,novel_object
novel_objects,36,book,0.5546,0.1339,163.83,laptop,novel_object
novel_objects,37,book,0.6968,0.1075,164.06,laptop,novel_object
novel_objects,37,person,0.4913,0.1357,164.06,laptop,novel_object
novel_objects,37,cup,0.7603,0.1363,164.06,laptop,novel_object
novel_objects,38,dining table,0.631,0.1698,135.27,laptop,novel_object
novel_objects,39,keyboard,0.5012,0.1048,149.15,laptop,novel_object
novel_objects,40,dining table,0.6567,0.2454,101.99,laptop,novel_object
novel_objects,40,book,0.7352,0.1821,101.99,laptop,novel_object
novel_objects,41,tv,0.5084,0.1351,132.15,laptop,novel_object
novel_objects,41,mouse,0.6971,0.163,132.15,laptop,novel_object
novel_objects,41,tv,0.5522,0.1177,132.15,laptop,novel_object
novel_objects,42,cup,0.5014,0.1704,154.1,laptop,novel_object
novel_objects,42,cell phone,0.5635,0.1362,154.1,laptop,novel_object
novel_objects,43,chair,0.7133,0.0961,145.62,laptop,novel_object
novel_objects,43,laptop,0.5859,0.1093,145.62,laptop,novel_object
novel_objects,43,chair,0.5325,0.1306,145.62,laptop,novel_object
