condition,frame_idx,class,confidence_mean,confidence_std,latency_ms,hardware,occlusion_level
occlusion,0,dining table,0.4073,0.1608,153.96,laptop,75_percent
occlusion,0,person,0.516,0.1611,153.96,laptop,75_percent
occlusion,1,mouse,0.7221,0.1406,139.41,laptop,50_percent
occlusion,2,remote,0.5454,0.0951,163.11,laptop,50_percent
occlusion,2,chair,0.5834,0.0945,163.11,laptop,50_percent
occlusion,2,person,0.7604,0.0948,163.11,laptop,50_percent
occlusion,3,cell phone,0.7107,0.1436,114.41,laptop,50_percent
occlusion,4,chair,0.5146,0.1934,122.45,laptop,75_percent
occlusion,4,chair,0.4927,0.1746,122.45,laptop,75_percent
occlusion,4,mouse,0.6424,0.1306,122.45,laptop,75_percent
occlusion,4,book,0.4156,0.1994,122.45,laptop,75_percent
occlusion,5,laptop,0.7304,0.1429,154.96,laptop,50_percent
occlusion,5,cup,0.6189,0.1403,154.96,laptop,50_percent
occlusion,6,laptop,0.6182,0.1009,163.75,laptop,50_percent
occlusion,6,laptop,0.7612,0.1408,163.75,laptop,50_percent
occlusion,6,bottle,0.4897,0.1362,163.75,laptop,50_percent
occlusion,6,keyboard,0.7098,0.1519,163.75,laptop,50_percent
occlusion,7,bottle,0.7582,0.0768,106.96,laptop,25_percent
occlusion,7,mouse,0.791,0.0529,106.96,laptop,25_percent
occlusion,8,laptop,0.5419,0.1804,125.01,laptop,75_percent
occlusion,9,cup,0.6502,0.105,134.36,laptop,25_percent
occlusion,9,keyboard,0.6757,0.0859,134.36,laptop,25_percent
occlusion,10,cell phone,0.6757,0.1617,109.8,laptop,75_percent
occlusion,10,chair,0.4702,0.1249,109.8,laptop,75_percent
occlusion,10,keyboard,0.6439,0.1929,109.8,laptop,75_percent
occlusion,11,person,0.6717,0.1953,139.14,laptop,75_percent
occlusion,11,mouse,0.4943,0.162,139.14,laptop,75_percent
occlusion,11,remote,0.5049,0.1319,139.14,laptop,75_percent
occlusion,11,chair,0.4352,0.163,139.14,laptop,75_percent
occlusion,12,remote,0.6233,0.0778,115.67,laptop,25_percent
occlusion,12,person,0.7487,0.1081,115.67,laptop,25_percent
occlusion,13,cup,0.441,0.1717,123.73,laptop,75_percent
occlusion,13,dining table,0.6341,0.1274,123.73,laptop,75_percent
occlusion,14,chair,0.5821,0.1682,92.74,laptop,75_percent
occlusion,14,bottle,0.4364,0.1809,92.74,laptop,75_percent
occlusion,15,book,0.471,0.1927,132.1,laptop,75_percent
occlusion,15,laptop,0.6611,0.197,132.1,laptop,75_percent
occlusion,16,remote,0.7613,0.0623,172.13,laptop,25_percent
occlusion,16,laptop,0.7456,0.0965,172.13,laptop,25_percent
occlusion,16,chair,0.7199,0.0889,172.13,laptop,25_percent
occlusion,16,cup,0.6585,0.0808,172.13,laptop,25_percent
occlusion,17,remote,0.6208,0.1488,97.07,laptop,50_percent
occlusion,17,laptop,0.5912,0.119,97.07,laptop,50_percent
occlusion,17,keyboard,0.7392,0.1419,97.07,laptop,50_percent
occlusion,17,person,0.5582,0.1554,97.07,laptop,50_percent
occlusion,18,laptop,0.479,0.1504,115.16,laptop,75_percent
occlusion,18,laptop,0.5298,0.1724,115.16,laptop,75_percent
